uid,founding_name,section_1_label,company_url,founding_pr_sdg_similarity,founding_pr_w_sdg_similarity,founding_pr_w_red_sdg_similarity
CHE216636989,PIONEER Management Services GmbH,M,http://swisspioneer.com/,0.92525226,0.21053237,0.29982364
CHE324617345,Wertsicht GmbH,P,http://www.wertsicht.de/,0.96055484,0.17830758,0.29809603
CHE387008258,GStream SA,M,http://gstream.ch/,0.91779125,0.15405259,0.29401782
CHE454229959,Paeradigms Sagl ( Paeradigms Gmbh ) ( Paeradigms Sàrl ) ( Paeradigms LLC ),P,http://www.paeradigms.org/,0.9271595,0.17766666,0.28092623
CHE136739528,SSD Analyse et Développement Sàrl,M,http://ssd-ad.ch/,0.92672485,0.20075326,0.27389288
CHE204011558,epiqe GmbH,M,http://www.epiqe.ch/,0.9511491,0.15113395,0.2729525
CHE266980325,Stadelmann Advokatur & Notariat AG,M,http://www.stadelmann-law.ch/,0.9400541,0.13458017,0.2708895
CHE270147365,MaRe Schweiz GmbH,K,http://carefinance.ch/,0.9372074,0.13158132,0.2683394
CHE447070731,Conscha GmbH ( Conscha Sàrl ) ( Conscha Sagl ) ( Conscha Ltd liab Co ),M,http://www.conscha.ch/,0.9468994,0.15688708,0.26763666
CHE159187321,Tsuku GmbH,M,http://tsuku.ch/,0.95511633,0.12546675,0.26753736
CHE452673125,Avani Design Sàrl,M,http://www.apres-ge.ch/,0.9559677,0.1390244,0.2663264
CHE433478787,proarbeit AG,Q,http://proarbeit.ch/,0.9292287,0.14193515,0.26370567
CHE177574408,In Travel Plus GmbH,N,http://www.travelworks.ch/,0.9365151,0.18499382,0.2634714
CHE186810950,TS Energia GmbH,M,http://www.energiestadt.ch/,0.955824,0.1306216,0.26264
CHE138836102,Reconstructable House AG ( Reconstructable House SA ) ( Reconstructable House Ltd . ),F,http://reconstructablehouse.com/,0.9116824,0.14331956,0.25995126
CHE442648120,QUANTA HR Solutions SA,P,http://hrsolutions.quanta.com/,0.9296114,0.110590674,0.25806218
CHE300225517,CO-OBJECTIFS 21 SA,M,http://co-objectifs21.com/,0.94341016,0.15391262,0.2577831
CHE189526327,CROWDlearning GmbH,J,http://www.crowdlearning.ch/,0.94167733,0.17275566,0.25314155
CHE412541090,Empathy Arts SA,N,http://www.empathyarts.com/,0.9042748,0.12503402,0.24837288
CHE345315720,gmües.lokal GmbH,I,http://www.xn--gmesgarte-r9a.ch/,0.93546414,0.16569848,0.24649172
CHE312519486,Poiesis Sagl,M,http://poiesis-swiss.com/,0.94140536,0.081515096,0.24584109
CHE477072634,ND Création Visuelle Sàrl,M,http://www.nd-creation-visuelle.ch/,0.9313889,0.060483597,0.24411859
CHE177425984,yeswetrust AG,J,http://www.yeswetrust.ch/,0.92991,0.13259898,0.24295345
CHE393813624,Windenergie Schweiz AG,D,http://www.wes-ag.ch/,0.9382663,0.118128404,0.24009778
CHE369400983,SAGE Professional Services SA,J,http://nestle-nespresso.com/,0.91347814,0.053583577,0.23906925
CHE420775974,Share A Dream Solutions Sàrl,S,http://share-a-dream.org/,0.93058807,0.16760397,0.2386655
CHE310842893,Légumes Perchés Sàrl,M,http://legumesperches.ch/,0.9435487,0.11389706,0.2373394
CHE248800402,Muntigunung Produktevertrieb GmbH,G,http://muntigunung.ch,0.9243321,0.082763135,0.23346436
CHE369846758,covai ag,Q,http://www.covai.ch/,0.9162142,0.19531515,0.23246665
CHE307105564,AROCAN GmbH ( AROCAN LLC ),K,http://www.savoirvivreswitzerland.ch/,0.9253216,0.09017354,0.2315955
CHE288313284,Barsan Global Logistik GmbH,H,http://www.barsan.com/,0.93309283,0.07365028,0.22782469
CHE177482479,Schweizer Wohnen AG,L,http://www.ernstschweizer.ch/,0.9351251,0.12904397,0.22598153
CHE389687049,Rathgeb Holding AG,K,http://rathgeb.bio/,0.9452927,0.06420311,0.22525465
CHE182151692,Rathgeb BioProdukte AG,A,http://rathgeb.bio/,0.9452927,0.06420311,0.22525465
CHE327466120,Berryfresh AG,A,http://rathgeb.bio/,0.9452927,0.06420311,0.22525465
CHE142523592,2030etc ag,M,http://www.2030etc.ch/,0.94991505,0.12567332,0.22359146
CHE221642843,Ticino Welcome Sagl,J,http://ticinowelcome.ch/,0.92147344,0.098266646,0.22331543
CHE458706148,"Buschor Tschobs GmbH , Qualifikation und Integration",J,http://www.tschobs.ch/,0.94311786,0.07900822,0.22308321
CHE226814577,CGFactory Sagl,M,http://cgfactory.ch/,0.9144061,0.06853241,0.2229141
CHE163850163,WERT ! Stätte gemeinnützige GmbH,Q,http://www.wertstaette.ch/,0.93089336,0.11632011,0.2228361
CHE335692173,Ecomobilità Sagl,M,http://www.eco-mobilita.com/,0.9092242,0.06648209,0.2224811
CHE370669138,serdaly & ankers SNC,S,http://www.serdaly-ankers.ch/,0.94658744,0.088725805,0.22180817
CHE428622417,RH-Pro Sàrl,M,http://rh-pro.ch/,0.9412181,0.13433628,0.22151136
CHE390022141,Kouleta SA [ Kouleta AG ] [ Kouleta Ltd ],M,http://kouleta.ch/,0.9117204,0.06576833,0.22131747
CHE439791662,Künag AG,A,http://www.kueng-ag.ch/,0.95009923,0.09306727,0.22070761
CHE137988815,Swissnorm Bau GmbH,F,http://www.swissnorm-ag.ch/,0.95430297,0.097312436,0.2206857
CHE466673775,NVCA scl,M,http://nvca.org/,0.9118389,0.10668563,0.2202282
CHE396099627,WIN Advisors Sàrl,M,http://www.winadvisors.ch/,0.91877955,0.10699286,0.21933512
CHE434735544,Welcome2school GmbH,Q,http://welcome2school.ch/,0.93171483,0.13036057,0.2173445
CHE373360482,ELEUTHERIA WEALTH SA ( ELEUTHERIA WEALTH AG ) ( ELEUTHERIA WEALTH Ltd ),M,http://www.eleutheriawealth.com/,0.91755253,0.11394613,0.21722105
