target,model,website_type,mean_roc_auc,std_roc_auc,mean_pr_auc,std_pr_auc
inno_subsidy,LR-Doc2Vec,founding,0.5851091859048714,0.031054630597301926,0.020968332279033768,0.002876223179898156
inno_subsidy,LR-Dim768,founding,0.5863374883140997,0.04309400690897119,0.022349953683785125,0.005052809632400676
inno_subsidy,LR-Dim768-w,founding,0.5998880442609,0.03865678660870024,0.02526282482144817,0.005170779071158043
inno_subsidy,LR-Dim300-w,founding,0.6230412254098197,0.035790559408748104,0.02568867677390211,0.004205003170684721
inno_subsidy,LR-Doc2Vec,current,0.5756743665391516,0.03673881351013102,0.021362353995210047,0.004818649392747206
inno_subsidy,LR-Dim768,current,0.5609573020290883,0.02967992259295702,0.019533181607304446,0.00239640574462795
inno_subsidy,LR-Dim768-w,current,0.5794069916179858,0.03319802945892997,0.02387741965447277,0.00658527132496649
inno_subsidy,LR-Dim300-w,current,0.6075521587883781,0.03057690527701,0.02497951949658562,0.004468753681652911
non_gov_investment,LR-Doc2Vec,founding,0.583524927862418,0.0505684038613053,0.012618391450564601,0.0016758217370089212
non_gov_investment,LR-Dim768,founding,0.5813453245168179,0.025546888284555546,0.01800174943220303,0.00956717665447609
non_gov_investment,LR-Dim768-w,founding,0.6175453884102702,0.03468371765053548,0.01832060755776007,0.007240234439389745
non_gov_investment,LR-Dim300-w,founding,0.6244784287793015,0.04030588840166884,0.020347831415984237,0.008917357391107626
non_gov_investment,LR-Doc2Vec,current,0.6181993004938248,0.04501608418487595,0.016077875643479966,0.0026160068889033604
non_gov_investment,LR-Dim768,current,0.5336455519186771,0.03968444848364536,0.011806290357872071,0.0019152929407209637
non_gov_investment,LR-Dim768-w,current,0.581179067478383,0.021861575401832777,0.018310009305702295,0.006887332212590656
non_gov_investment,LR-Dim300-w,current,0.6211916576378329,0.025196921210499282,0.021376659003902933,0.01072588879203802
acquisition,LR-Doc2Vec,founding,0.5914529623341522,0.06112476587006808,0.008112134744192059,0.003897761659399444
acquisition,LR-Dim768,founding,0.5306425583450316,0.08041779335889786,0.005962284494996372,0.0012981306001460886
acquisition,LR-Dim768-w,founding,0.5307004541316146,0.04958478261536322,0.006874128638934508,0.0027264786541539025
acquisition,LR-Dim300-w,founding,0.5383124068313566,0.05238571034784115,0.006417075911569643,0.0012648896539501594
acquisition,LR-Doc2Vec,current,0.5890253592890586,0.08057451155196141,0.0047106022907364795,0.0009516557575691788
acquisition,LR-Dim768,current,0.48166410908628,0.06899579479556851,0.004552334844202689,0.002760836919873366
acquisition,LR-Dim768-w,current,0.6102376459070362,0.08855252936206218,0.006588733608666833,0.002556546244931961
acquisition,LR-Dim300-w,current,0.6033599338005039,0.08549790383720957,0.006433417998633896,0.0030204601095253822
inv_exit,LR-Doc2Vec,founding,0.5126964099872284,0.013803363049731628,0.0577250331488242,0.003003109541466289
inv_exit,LR-Dim768,founding,0.4945192307591869,0.024494904794456634,0.055828766926308705,0.005195703186245439
inv_exit,LR-Dim768-w,founding,0.497523196701909,0.02219093266831741,0.05512262125360155,0.004648797414026137
inv_exit,LR-Dim300-w,founding,0.49339130019495264,0.022852333656810518,0.05488858769476281,0.0044632867686444245
inv_exit,LR-Doc2Vec,current,0.5475239068526756,0.027318595197790826,0.04800109147493434,0.010873732228775586
inv_exit,LR-Dim768,current,0.5491823060907564,0.04150831034690674,0.045840885037106295,0.0078097629773645014
inv_exit,LR-Dim768-w,current,0.5666463051601404,0.03672844670000021,0.04983517233197484,0.009316354452266492
inv_exit,LR-Dim300-w,current,0.552035490075993,0.036271839979602795,0.05094941656558562,0.00945692230485489