model,target,feature,weight,gain,weight_rank,gain_rank
founding_base,non_gov_investment,days_of_prior_observations,1072.0,35.3114013671875,1.0,79.0
founding_base,non_gov_investment,prediction_1_score,1039.0,79.60030364990234,2.0,28.0
founding_base,non_gov_investment,prediction_2_score,991.0,38.95452880859375,3.0,72.0
founding_base,non_gov_investment,firm_name_length,984.0,63.639617919921875,4.0,40.0
founding_base,non_gov_investment,n_firms_within_10km,917.0,51.8863410949707,5.0,54.0
founding_base,non_gov_investment,bps_mean_word_length,914.0,34.280426025390625,6.0,83.0
founding_base,non_gov_investment,latitude,871.0,34.80549621582031,7.0,80.0
founding_base,non_gov_investment,prediction_3_score,862.0,33.567779541015625,8.0,84.0
founding_base,non_gov_investment,longitude,823.0,45.43866729736328,9.0,62.0
founding_base,non_gov_investment,bps_freq_ratio_norm,746.0,33.54515075683594,10.0,85.0
founding_base,non_gov_investment,bps_length,737.0,37.192710876464844,11.0,77.0
founding_base,non_gov_investment,n_firms_within_1km,725.0,38.79829025268555,12.0,73.0
founding_base,non_gov_investment,n_firms_within_2.5km,720.0,68.49767303466797,13.0,34.0
founding_base,non_gov_investment,bps_lix,708.0,41.714237213134766,14.0,67.0
founding_base,non_gov_investment,population,632.0,41.66510772705078,15.0,68.0
founding_base,non_gov_investment,bps_min_word_freq_norm,614.0,36.7969970703125,16.0,78.0
founding_base,non_gov_investment,founding_bfs_code,433.0,41.29364013671875,17.0,69.0
founding_base,non_gov_investment,n_firms_within_10m,416.0,32.15376281738281,18.0,86.0
founding_base,non_gov_investment,n_founders,356.0,133.6649932861328,19.0,13.0
founding_base,non_gov_investment,capital_chf,350.0,231.64122009277344,20.0,7.0
founding_base,non_gov_investment,class_3_label,342.0,60.601680755615234,21.0,44.0
founding_base,non_gov_investment,group_1_label,315.0,65.83708190917969,22.0,37.0
founding_base,non_gov_investment,district_id,301.0,51.21858596801758,23.0,55.0
founding_base,non_gov_investment,class_1_label,285.0,58.78718566894531,24.0,47.0
founding_base,non_gov_investment,pct_female_founders,275.0,88.89707946777344,25.0,22.0
founding_base,non_gov_investment,group_3_label,273.0,82.70501708984375,26.0,24.0
founding_base,non_gov_investment,division_3_label,267.0,84.92920684814453,27.0,23.0
founding_base,non_gov_investment,class_2_label,265.0,80.54595947265625,28.0,26.0
founding_base,non_gov_investment,division_2_label,262.0,185.65135192871094,29.0,9.0
founding_base,non_gov_investment,pct_founders_same_residence,255.0,25.766355514526367,30.0,95.0
founding_base,non_gov_investment,group_2_label,249.0,121.55057525634766,31.0,16.0
founding_base,non_gov_investment,pct_foreign_founders,246.0,30.99626350402832,32.0,88.0
founding_base,non_gov_investment,typology_25c,235.0,80.02017974853516,33.0,27.0
founding_base,non_gov_investment,n_existing_firms,226.0,58.705039978027344,34.0,49.0
founding_base,non_gov_investment,division_1_label,218.0,62.30192184448242,35.0,41.0
founding_base,non_gov_investment,bps_max_word_freq_norm,188.0,34.34541702270508,36.0,82.0
founding_base,non_gov_investment,pct_founders_with_prior_founding,187.0,38.79066467285156,37.0,74.0
founding_base,non_gov_investment,n_distinct_nationalities,177.0,77.02153778076172,38.0,29.0
founding_base,non_gov_investment,n_inscribed_firms,130.0,41.98715591430664,39.0,66.0
founding_base,non_gov_investment,firm_name_founder_match,111.0,411.1659240722656,40.0,5.0
founding_base,non_gov_investment,firm_name_swiss_ref,109.0,70.97059631347656,41.0,32.0
founding_base,non_gov_investment,section_1_label_J,78.0,331.90283203125,42.0,6.0
founding_base,non_gov_investment,founding_legal_form_3,77.0,150.62660217285156,43.0,12.0
founding_base,non_gov_investment,bps_geographic_term,75.0,39.190277099609375,44.0,71.0
founding_base,non_gov_investment,section_2_label_J,65.0,933.986083984375,45.0,1.0
founding_base,non_gov_investment,founding_legal_form_4,61.0,97.99633026123047,46.0,19.0
founding_base,non_gov_investment,pct_dr_titles,58.0,37.88487243652344,47.0,76.0
founding_base,non_gov_investment,section_2_label_M,55.0,644.878173828125,48.0,3.0
founding_base,non_gov_investment,section_3_label_M,54.0,699.730224609375,49.0,2.0
founding_base,non_gov_investment,section_3_label_J,53.0,536.9640502929688,50.0,4.0
founding_base,non_gov_investment,firm_name_holding_ref,42.0,49.04175567626953,51.0,60.0
founding_base,non_gov_investment,canton_id,41.0,56.76797103881836,52.5,50.0
founding_base,non_gov_investment,section_1_label_M,41.0,60.556968688964844,52.5,45.0
founding_base,non_gov_investment,typology_9c_13.0,38.0,27.281387329101562,54.5,92.0
founding_base,non_gov_investment,section_3_label_G,38.0,59.05930709838867,54.5,46.0
founding_base,non_gov_investment,section_2_label_L,37.0,160.3756866455078,56.0,10.0
founding_base,non_gov_investment,section_1_label_G,31.0,89.33850860595703,57.5,21.0
founding_base,non_gov_investment,typology_9c_12.0,31.0,42.43401336669922,57.5,64.0
founding_base,non_gov_investment,typology_9c_11.0,30.0,49.15309524536133,59.0,59.0
founding_base,non_gov_investment,section_1_label_P,27.0,65.47151184082031,60.0,38.0
founding_base,non_gov_investment,section_3_label_F,22.0,49.38623046875,61.5,58.0
founding_base,non_gov_investment,typology_9c_21.0,22.0,58.77718734741211,61.5,48.0
founding_base,non_gov_investment,section_1_label_F,21.0,52.67912292480469,63.0,52.0
founding_base,non_gov_investment,section_1_label_K,20.0,76.555419921875,64.0,30.0
founding_base,non_gov_investment,typology_9c_23.0,19.0,72.96334075927734,65.5,31.0
founding_base,non_gov_investment,section_1_label_N,19.0,29.778583526611328,65.5,91.0
founding_base,non_gov_investment,section_3_label_N,18.0,49.393898010253906,67.5,57.0
founding_base,non_gov_investment,section_1_label_L,18.0,131.64915466308594,67.5,14.0
founding_base,non_gov_investment,section_3_label_C,17.0,157.22113037109375,69.0,11.0
founding_base,non_gov_investment,section_3_label_L,16.0,38.67338562011719,70.5,75.0
founding_base,non_gov_investment,section_2_label_K,16.0,54.62652587890625,70.5,51.0
founding_base,non_gov_investment,typology_9c_22.0,15.0,44.99049758911133,72.0,63.0
founding_base,non_gov_investment,firm_name_geog_ref,14.0,30.243562698364258,73.0,90.0
founding_base,non_gov_investment,section_3_label_K,13.0,24.076313018798828,74.5,96.0
founding_base,non_gov_investment,section_2_label_D,13.0,107.63654327392578,74.5,17.0
founding_base,non_gov_investment,section_1_label_R,12.0,64.70912170410156,76.5,39.0
founding_base,non_gov_investment,section_2_label_G,12.0,100.04607391357422,76.5,18.0
founding_base,non_gov_investment,firm_name_male_match,11.0,23.429643630981445,78.5,97.0
founding_base,non_gov_investment,urban_rural_2.0,11.0,31.60346221923828,78.5,87.0
founding_base,non_gov_investment,section_1_label_H,10.0,68.0936508178711,80.5,36.0
founding_base,non_gov_investment,section_1_label_C,10.0,60.77715301513672,80.5,43.0
founding_base,non_gov_investment,urban_rural_1.0,9.0,68.43193817138672,82.0,35.0
founding_base,non_gov_investment,section_2_label_Q,8.0,20.003339767456055,83.5,98.0
founding_base,non_gov_investment,section_2_label_N,8.0,50.503990173339844,83.5,56.0
founding_base,non_gov_investment,urban_rural_3.0,6.0,47.22996520996094,85.5,61.0
founding_base,non_gov_investment,section_2_label_P,6.0,42.33439254760742,85.5,65.0
founding_base,non_gov_investment,section_3_label_I,5.0,25.787525177001953,87.5,94.0
founding_base,non_gov_investment,section_3_label_P,5.0,90.74378967285156,87.5,20.0
founding_base,non_gov_investment,section_1_label_Q,4.0,34.78828430175781,89.5,81.0
founding_base,non_gov_investment,section_2_label_F,4.0,51.982181549072266,89.5,53.0
founding_base,non_gov_investment,typology_9c_32.0,3.0,69.9333724975586,92.0,33.0
founding_base,non_gov_investment,section_2_label_C,3.0,128.3882293701172,92.0,15.0
founding_base,non_gov_investment,firm_name_female_match,3.0,16.985614776611328,92.0,101.0
founding_base,non_gov_investment,section_3_label_Q,2.0,11.612215042114258,95.5,102.0
founding_base,non_gov_investment,section_2_label_S,2.0,60.79442596435547,95.5,42.0
founding_base,non_gov_investment,section_2_label_R,2.0,81.86514282226562,95.5,25.0
founding_base,non_gov_investment,n_dissolved_firms,2.0,30.85540008544922,95.5,89.0
founding_base,non_gov_investment,section_3_label_R,1.0,26.64794921875,100.0,93.0
founding_base,non_gov_investment,section_2_label_I,1.0,19.963760375976562,100.0,99.0
founding_base,non_gov_investment,typology_9c_31.0,1.0,41.217315673828125,100.0,70.0
founding_base,non_gov_investment,section_2_label_E,1.0,204.6693115234375,100.0,8.0
founding_base,non_gov_investment,section_1_label_I,1.0,17.14889144897461,100.0,100.0
founding_base,non_gov_investment,typology_9c_33.0,0.0,0.0,116.0,116.0
founding_base,non_gov_investment,section_1_label_D,0.0,0.0,116.0,116.0
founding_base,non_gov_investment,section_1_label_B,0.0,0.0,116.0,116.0
founding_base,non_gov_investment,founding_legal_form_17,0.0,0.0,116.0,116.0
founding_base,non_gov_investment,founding_legal_form_16,0.0,0.0,116.0,116.0
founding_base,non_gov_investment,founding_legal_form_15,0.0,0.0,116.0,116.0
founding_base,non_gov_investment,founding_legal_form_13,0.0,0.0,116.0,116.0
founding_base,non_gov_investment,founding_legal_form_10,0.0,0.0,116.0,116.0
founding_base,non_gov_investment,founding_legal_form_8,0.0,0.0,116.0,116.0
founding_base,non_gov_investment,founding_legal_form_6,0.0,0.0,116.0,116.0
founding_base,non_gov_investment,founding_legal_form_5,0.0,0.0,116.0,116.0
founding_base,non_gov_investment,bps_male_name,0.0,0.0,116.0,116.0
founding_base,non_gov_investment,section_1_label_E,0.0,0.0,116.0,116.0
founding_base,non_gov_investment,section_1_label_S,0.0,0.0,116.0,116.0
founding_base,non_gov_investment,section_1_label_O,0.0,0.0,116.0,116.0
founding_base,non_gov_investment,section_1_label_T,0.0,0.0,116.0,116.0
founding_base,non_gov_investment,section_1_label_U,0.0,0.0,116.0,116.0
founding_base,non_gov_investment,section_2_label_B,0.0,0.0,116.0,116.0
founding_base,non_gov_investment,section_2_label_H,0.0,0.0,116.0,116.0
founding_base,non_gov_investment,section_2_label_O,0.0,0.0,116.0,116.0
founding_base,non_gov_investment,section_3_label_B,0.0,0.0,116.0,116.0
founding_base,non_gov_investment,section_3_label_D,0.0,0.0,116.0,116.0
founding_base,non_gov_investment,section_3_label_E,0.0,0.0,116.0,116.0
founding_base,non_gov_investment,section_3_label_H,0.0,0.0,116.0,116.0
founding_base,non_gov_investment,section_3_label_O,0.0,0.0,116.0,116.0
founding_base,non_gov_investment,section_3_label_S,0.0,0.0,116.0,116.0
founding_base,non_gov_investment,bps_female_name,0.0,0.0,116.0,116.0
